Regiao,Genero,Tratamento,Outcome,N,ACME_treated,ACME_treated_ci_lo,ACME_treated_ci_hi,ACME_control,ACME_control_ci_lo,ACME_control_ci_hi,ACME_avg,ACME_avg_ci_lo,ACME_avg_ci_hi,ADE_treated,ADE_treated_ci_lo,ADE_treated_ci_hi,ADE_control,ADE_control_ci_lo,ADE_control_ci_hi,ADE_avg,ADE_avg_ci_lo,ADE_avg_ci_hi,Total_effect,Total_effect_ci_lo,Total_effect_ci_hi,Prop_mediated,Prop_mediated_ci_lo,Prop_mediated_ci_hi
Norte,Filhas,PAI_MEDIO,LP,24267,0.3741896683158379,0.22916447146597305,0.4874172384211791,0.37418966831583744,0.22916447146597288,0.4874172384211792,0.37418966831583766,0.22916447146597296,0.4874172384211792,13.861290258309543,12.770485135051143,14.462605193893639,13.861290258309543,12.770485135051143,14.462605193893639,13.861290258309543,12.770485135051143,14.462605193893639,14.23547992662538,13.126909162682848,14.867622071120689,0.0262857079806611,0.016492258465007438,0.03291007026282313
Nordeste,Filhos,PAI_MEDIO,LP,59722,0.3952099841076369,0.2711386985316956,0.5207563245666785,0.395209984107637,0.27113869853169553,0.5207563245666784,0.39520998410763697,0.2711386985316956,0.5207563245666785,15.016230171741011,13.745812007924746,16.813681264486174,15.016230171741011,13.745812007924746,16.813681264486174,15.016230171741011,13.745812007924746,16.813681264486174,15.411440155848648,14.083721996483776,17.16064315363939,0.025643935940513295,0.0171016790313223,0.03514450240968599
Nordeste,Filhas,PAI_MEDIO,LP,53688,0.7410142872026634,0.5113010457430935,0.966065848637307,0.7410142872026634,0.5113010457430935,0.966065848637307,0.7410142872026634,0.5113010457430935,0.966065848637307,14.21990213769589,12.104573054755058,16.049121972639988,14.21990213769589,12.104573054755058,16.049121972639984,14.21990213769589,12.104573054755058,16.049121972639988,14.960916424898553,12.69028544533663,16.724813400457506,0.04953000646199974,0.03521603667611554,0.06380444006658874
Sudeste,Filhos,PAI_MEDIO,LP,99386,0.2667040100837871,0.12224667312132637,0.38175901821127206,0.2667040100837871,0.12224667312132637,0.38175901821127195,0.2667040100837871,0.12224667312132637,0.381759018211272,14.112887650144131,12.445308688817597,16.181458337984903,14.112887650144131,12.445308688817597,16.181458337984903,14.112887650144131,12.445308688817597,16.181458337984903,14.379591660227918,12.757048298503216,16.36765846927946,0.018547398033662926,0.007486401029731218,0.028038008190644562
Sudeste,Filhas,PAI_MEDIO,LP,96362,0.061703639091331565,-0.06064780005162873,0.2148411497774514,0.06170363909133153,-0.06064780005162868,0.21484114977745145,0.061703639091331544,-0.06064780005162871,0.21484114977745142,12.556842158199528,11.206547976122222,13.163253439715998,12.55684215819953,11.206547976122222,13.163253439715998,12.55684215819953,11.206547976122222,13.163253439715998,12.618545797290862,11.328479504573984,13.282015245164272,0.004889916800442964,-0.004866223988277942,0.017081877824111094
Sul,Filhos,PAI_MEDIO,LP,43599,0.06966913256878321,-0.12992064658720803,0.1352326140237822,0.06966913256878318,-0.12992064658720787,0.13523261402378214,0.0696691325687832,-0.12992064658720798,0.13523261402378217,11.466960112889298,10.534121229970426,13.373442056374858,11.466960112889298,10.534121229970426,13.373442056374858,11.466960112889298,10.534121229970426,13.373442056374858,11.536629245458082,10.653955014417535,13.462866918159769,0.006038950466940906,-0.011513582230719164,0.012233972899745807
Sul,Filhas,PAI_MEDIO,LP,40507,0.17190946517028505,0.09793585077777331,0.29453520419019,0.17190946517028508,0.09793585077777332,0.29453520419018997,0.17190946517028505,0.09793585077777331,0.29453520419018997,14.146171574113167,12.338940184727214,16.093496238461015,14.146171574113167,12.338940184727214,16.093496238461015,14.146171574113167,12.338940184727214,16.093496238461015,14.318081039283452,12.561010867498608,16.25227496962932,0.012006459853008923,0.006957820154579578,0.021987701785113865
Centro-Oeste,Filhos,PAI_MEDIO,LP,22282,0.551385926661563,0.3424674065891784,0.7604835769615182,0.5513859266615633,0.3424674065891784,0.7604835769615181,0.5513859266615632,0.3424674065891784,0.7604835769615181,11.921440448140093,10.95284216832544,13.384678178898136,11.921440448140093,10.952842168325441,13.384678178898136,11.921440448140093,10.952842168325441,13.384678178898136,12.472826374801656,11.562558001525813,13.902220763095263,0.044206975235020166,0.028749697181908996,0.0607299314654578
Centro-Oeste,Filhas,PAI_MEDIO,LP,20908,0.38675003912638445,0.1792181439577864,0.5008563812013767,0.3867500391263848,0.17921814395778668,0.5008563812013767,0.3867500391263846,0.17921814395778654,0.5008563812013767,11.74462316113776,10.538077592184102,13.432507261904567,11.74462316113776,10.538077592184102,13.432507261904567,11.74462316113776,10.538077592184102,13.432507261904567,12.131373200264145,10.895338622236991,13.791537831074494,0.03188015344528051,0.014872070358906413,0.041128230314267156
Norte,Filhos,PAI_MEDIO,MT,26022,0.6686599389864082,0.5134247431625047,0.7839653934308313,0.6686599389864085,0.5134247431625047,0.7839653934308312,0.6686599389864083,0.5134247431625047,0.7839653934308313,12.209532478563817,10.196320591009702,13.232893181066215,12.209532478563817,10.196320591009702,13.232893181066215,12.209532478563817,10.196320591009702,13.232893181066215,12.878192417550226,10.8376739082623,13.895821827248662,0.05192187826570813,0.040116606878269116,0.0642176090132889
Norte,Filhas,PAI_MEDIO,MT,24267,0.4456636735393125,0.28068321810307206,0.5350374274212764,0.4456636735393125,0.280683218103072,0.5350374274212762,0.4456636735393125,0.28068321810307206,0.5350374274212762,10.740412517528483,9.943151137353883,12.193488136537757,10.740412517528483,9.943151137353883,12.193488136537757,10.740412517528483,9.943151137353883,12.193488136537757,11.186076191067796,10.38134281748909,12.60853774848141,0.03984092955626208,0.02653441309785222,0.046758075626217144
Nordeste,Filhos,PAI_MEDIO,MT,59722,0.6592974527765182,0.4177796143371691,0.7866680248855442,0.6592974527765182,0.417779614337169,0.7866680248855441,0.6592974527765182,0.41777961433716904,0.7866680248855442,12.960268496923902,10.813756871676722,15.351521215972118,12.960268496923902,10.813756871676722,15.351521215972118,12.960268496923902,10.813756871676722,15.351521215972118,13.619565949700421,11.421749378901346,15.89986986069567,0.04840811045017336,0.03130390930279924,0.06500608935477473
Nordeste,Filhas,PAI_MEDIO,MT,53688,0.7782278023604876,0.5470541362756851,0.970158980880021,0.7782278023604876,0.5470541362756851,0.9701589808800207,0.7782278023604876,0.5470541362756851,0.9701589808800208,10.747708532753224,9.31965049193531,12.318554698463995,10.747708532753224,9.31965049193531,12.318554698463997,10.747708532753224,9.31965049193531,12.318554698463995,11.525936335113713,9.949208461125345,13.047588825421006,0.06751970336584458,0.04629249643469787,0.08862185470768642
Sudeste,Filhos,PAI_MEDIO,MT,99386,0.47852477601906035,0.3110051538411381,0.633877562848538,0.4785247760190604,0.311005153841138,0.6338775628485381,0.4785247760190604,0.311005153841138,0.633877562848538,12.779961330432583,10.864335993923593,14.743152355255553,12.779961330432583,10.864335993923593,14.743152355255553,12.779961330432583,10.864335993923593,14.743152355255553,13.258486106451643,11.352110842143194,15.216594625314132,0.036091961946259306,0.023765979375149585,0.049959169231696285
Sudeste,Filhas,PAI_MEDIO,MT,96362,0.2205790660596817,0.04639691901558987,0.31064603556274056,0.22057906605968144,0.04639691901558987,0.31064603556274034,0.22057906605968158,0.04639691901558987,0.31064603556274045,10.86871155175616,9.655727005017798,12.821565913413052,10.86871155175616,9.655727005017798,12.821565913413052,10.86871155175616,9.655727005017798,12.821565913413052,11.089290617815841,9.960154604499351,13.060650556873743,0.01989117912603927,0.004120701554219602,0.030638380634005136
Sul,Filhos,PAI_MEDIO,MT,43599,0.3293286270152285,0.20216334595549243,0.4349933014559581,0.3293286270152286,0.20216334595549268,0.43499330145595816,0.3293286270152286,0.20216334595549254,0.43499330145595816,9.871202570494862,8.570727424004408,11.458514258100726,9.871202570494862,8.570727424004406,11.458514258100726,9.871202570494862,8.570727424004406,11.458514258100726,10.200531197510092,8.904835961567922,11.744645118319111,0.03228543892847623,0.018452801008218108,0.04392955607023464
Sul,Filhas,PAI_MEDIO,MT,40507,0.3479467515767295,0.22572317424891394,0.49730233783806893,0.3479467515767295,0.22572317424891394,0.49730233783806904,0.3479467515767295,0.22572317424891394,0.497302337838069,11.287431653323083,9.29954148509597,12.757854048212325,11.287431653323083,9.29954148509597,12.757854048212325,11.287431653323083,9.29954148509597,12.757854048212325,11.635378404899813,9.58229089783477,13.164127092751292,0.02990420590276673,0.01852031520364134,0.03964251563696573
Centro-Oeste,Filhos,PAI_MEDIO,MT,22282,0.7866992291076363,0.5701810235641245,1.0585589822029233,0.786699229107636,0.5701810235641245,1.0585589822029235,0.7866992291076362,0.5701810235641245,1.0585589822029233,10.514893151028076,8.938114568961069,12.707621763198487,10.514893151028074,8.938114568961069,12.707621763198487,10.514893151028076,8.938114568961069,12.707621763198487,11.301592380135713,9.865024914804188,13.439942148401641,0.06960959152007475,0.045542746196755204,0.10320507127083721
Centro-Oeste,Filhas,PAI_MEDIO,MT,20908,0.5323406042759748,0.3663597992763494,0.6701524728611802,0.5323406042759747,0.36635979927634943,0.6701524728611803,0.5323406042759748,0.36635979927634943,0.6701524728611803,9.558651273939102,8.369253566483616,10.394181645989592,9.558651273939102,8.369253566483616,10.394181645989592,9.558651273939102,8.369253566483616,10.394181645989592,10.090991878215076,8.896016722859152,11.018238485006867,0.05275404149568464,0.03582230712322971,0.06671830272750581
Norte,Filhos,PAI_SUPERIOR,LP,34792,1.170752120056792,1.033095071401318,1.4628696863168396,1.170752120056792,1.0330950714013178,1.4628696863168396,1.170752120056792,1.033095071401318,1.4628696863168396,5.01863385187562,4.1517698875241456,6.519809432246578,5.01863385187562,4.151769887524145,6.5198094322465785,5.01863385187562,4.151769887524145,6.5198094322465785,6.1893859719324125,5.423221355858744,7.554248110254057,0.18915480879135851,0.13684683947306175,0.2550696442863185
Norte,Filhas,PAI_SUPERIOR,LP,32339,1.073472214107821,0.9088331786071634,1.2203482576912863,1.0734722141078208,0.9088331786071634,1.2203482576912863,1.073472214107821,0.9088331786071634,1.2203482576912863,2.936298717573677,1.5810643466529906,4.259542762215233,2.936298717573677,1.5810643466529906,4.259542762215232,2.936298717573677,1.5810643466529906,4.259542762215233,4.009770931681498,2.5953265192529247,5.348440145585511,0.2677140994829,0.19187454468706336,0.40903985232498846
Nordeste,Filhos,PAI_SUPERIOR,LP,72757,1.1149857415514934,0.9707384015425868,1.6343403768505178,1.1149857415514934,0.9707384015425867,1.6343403768505178,1.1149857415514934,0.9707384015425867,1.6343403768505178,7.31147643112088,5.525760856478393,9.081869228278734,7.31147643112088,5.525760856478393,9.081869228278734,7.31147643112088,5.525760856478393,9.081869228278734,8.426462172672373,6.577179068739389,10.174239676403403,0.13231955697463083,0.10659820677605295,0.18764812516771867
Nordeste,Filhas,PAI_SUPERIOR,LP,64778,2.355827657971558,1.984662803035333,2.925170925726018,2.355827657971558,1.984662803035333,2.925170925726018,2.355827657971558,1.984662803035333,2.925170925726018,2.828432551096739,1.27798704592505,4.282483949418573,2.828432551096739,1.2779870459250502,4.282483949418573,2.828432551096739,1.2779870459250502,4.282483949418573,5.184260209068297,3.4881433221222884,6.631459661703856,0.45441925423626484,0.33667650050301917,0.646056591572711
Sudeste,Filhos,PAI_SUPERIOR,LP,135721,0.9558639802259243,0.533645143057665,1.3776085498226296,0.9558639802259246,0.5336451430576649,1.3776085498226296,0.9558639802259244,0.5336451430576649,1.3776085498226296,2.197411704939392,0.7743640484969762,3.9208492400186983,2.197411704939392,0.7743640484969759,3.9208492400186987,2.197411704939392,0.774364048496976,3.9208492400186987,3.1532756851653163,1.32741732953759,4.557096806698826,0.303133653908796,0.13964306342392718,0.4712476747303303
Sudeste,Filhas,PAI_SUPERIOR,LP,127442,0.6089935088606956,0.142977879470646,1.106902922427284,0.6089935088606956,0.142977879470646,1.1069029224272837,0.6089935088606956,0.142977879470646,1.106902922427284,3.388238487379755,1.9571470471533594,4.815758519414844,3.388238487379755,1.9571470471533594,4.815758519414845,3.388238487379755,1.9571470471533594,4.815758519414844,3.997231996240451,2.564189204690299,5.558195060168684,0.15235380619225433,0.036817801292447806,0.3105173018540059
Sul,Filhos,PAI_SUPERIOR,LP,56031,0.677837145261583,0.42720145405711846,0.9336309117295505,0.677837145261583,0.4272014540571184,0.9336309117295505,0.677837145261583,0.42720145405711846,0.9336309117295505,7.437674120628053,6.60734541017532,8.894368375085387,7.437674120628052,6.60734541017532,8.894368375085387,7.437674120628053,6.60734541017532,8.894368375085387,8.115511265889635,7.143726063500534,9.668190011986418,0.0835236527993751,0.05292409474714363,0.1172212003646816
Sul,Filhas,PAI_SUPERIOR,LP,50893,0.889252003288809,0.5497551385258529,1.1659010180820513,0.8892520032888088,0.5497551385258528,1.1659010180820513,0.8892520032888089,0.5497551385258528,1.1659010180820513,8.91180119406353,7.161504118198714,10.608131129672547,8.91180119406353,7.161504118198713,10.608131129672547,8.91180119406353,7.161504118198713,10.608131129672547,9.801053197352338,7.864154207659061,11.516517155093183,0.09073024963572608,0.05636830614134551,0.12667386703919725
Centro-Oeste,Filhos,PAI_SUPERIOR,LP,29632,1.4934454119316962,1.1198613645597553,2.0468026603018252,1.4934454119316962,1.1198613645597548,2.0468026603018252,1.4934454119316962,1.119861364559755,2.0468026603018252,4.044393088304212,1.7602710911146473,5.17510599106672,4.044393088304212,1.7602710911146473,5.17510599106672,4.044393088304212,1.7602710911146473,5.17510599106672,5.5378385002359085,3.2276351573363202,6.8717246044778735,0.2696802031818148,0.20606339354743036,0.4685507803934319
Centro-Oeste,Filhas,PAI_SUPERIOR,LP,27294,1.6435000268605147,1.011435009179733,2.0551581489042623,1.6435000268605147,1.0114350091797333,2.0551581489042623,1.6435000268605147,1.0114350091797333,2.0551581489042623,5.003755006403196,4.236735708937052,7.604742181164701,5.003755006403196,4.2367357089370525,7.604742181164702,5.003755006403196,4.236735708937052,7.604742181164701,6.647255033263711,5.689452425619312,9.042453162572027,0.24724491818596264,0.13560602398348395,0.29001822290981105
Norte,Filhos,PAI_SUPERIOR,MT,34792,1.6202273830284017,1.3667886262697488,1.9147975594260678,1.6202273830284015,1.3667886262697484,1.9147975594260676,1.6202273830284017,1.3667886262697486,1.9147975594260678,3.203527991800738,2.2091893222406727,4.535782939296391,3.203527991800738,2.2091893222406727,4.535782939296391,3.203527991800738,2.2091893222406727,4.535782939296391,4.82375537482914,3.836678641233026,6.2928385478056645,0.33588506404842117,0.27489377614982874,0.43016807750410446
Norte,Filhas,PAI_SUPERIOR,MT,32339,1.1412659874382705,0.9661876077430358,1.370894166640241,1.14126598743827,0.9661876077430358,1.370894166640241,1.1412659874382702,0.9661876077430358,1.370894166640241,1.712694686320475,0.6467470747365847,2.5997997654712726,1.712694686320475,0.6467470747365847,2.599799765471273,1.712694686320475,0.6467470747365847,2.599799765471273,2.8539606737587455,1.8368194210163067,3.670049792856945,0.3998884770669216,0.2841648915901022,0.6702670373205952
Nordeste,Filhos,PAI_SUPERIOR,MT,72757,1.698318787055377,1.4467828374228673,2.2307281023133934,1.698318787055377,1.446782837422867,2.2307281023133934,1.698318787055377,1.446782837422867,2.2307281023133934,6.648486106141063,5.544771502912921,9.070137987365419,6.648486106141062,5.544771502912921,9.070137987365417,6.648486106141062,5.544771502912921,9.070137987365419,8.34680489319644,7.110416535442918,11.080038632180596,0.20346932853788074,0.16706806991569928,0.25279367635397704
Nordeste,Filhas,PAI_SUPERIOR,MT,64778,2.6349548869039827,2.159363949336498,3.363840591233792,2.6349548869039823,2.159363949336498,3.363840591233792,2.6349548869039827,2.159363949336498,3.363840591233792,2.581131237902025,1.0842447305646152,4.203231367810356,2.581131237902025,1.0842447305646152,4.203231367810357,2.581131237902025,1.0842447305646152,4.203231367810357,5.216086124806008,3.5443386454521044,7.294631239484547,0.5051593903660822,0.39400448633112983,0.7287146292985855
Sudeste,Filhos,PAI_SUPERIOR,MT,135721,1.4790621574443858,0.9143674423535327,2.0334610444911196,1.4790621574443858,0.9143674423535326,2.03346104449112,1.4790621574443858,0.9143674423535327,2.03346104449112,2.8762614036265175,1.5597333644499185,4.937321722934586,2.8762614036265175,1.5597333644499185,4.937321722934586,2.8762614036265175,1.5597333644499185,4.937321722934586,4.355323561070904,2.898989890306031,6.499645403332339,0.3395986857703652,0.186903197258755,0.4620362676908928
